"","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindSpeed3pm","Humidity3pm","Pressure3pm","Cloud3pm","Temp3pm","RainToday","RainTomorrow"
"22355",17.8,25.2,0,4,6.4,13,66,1013.4,7,24.4,"No","No"
"67611",9,16,0.8,1.6,7.4,26,53,1013,7,14.8,"No","No"
"75047",7.8,12.2,1.8,0.6,5.4,22,84,1026.1,6,10.5,"Yes","Yes"
"6108",6.5,17.5,0,2,9.7,7,47,1024.6,2,17.2,"No","No"
"37688",9,22.6,0,2.8,9.5,11,42,1016,5,21.6,"No","Yes"
"138340",17.4,33.4,0,6.8,10.5,20,18,1012,1,32.1,"No","No"
"120058",18.6,32.6,0,9,11.8,15,38,1016.7,1,29.8,"No","No"
"133335",18.9,35.5,0,15.2,12.2,31,13,1009.8,1,34.9,"No","No"
"22827",16.4,22.9,0,3.6,10.4,13,57,1023.8,2,21.8,"No","No"
"13105",8.7,22.1,0,3,8,15,39,1017.3,5,21.5,"No","No"
"76331",7.2,14.1,6.8,5.2,8,26,65,1024.2,7,13.1,"Yes","Yes"
"31824",13.1,20.1,0,3.8,10.1,22,55,1015.1,5,19.2,"No","No"
"32964",12.2,19,1,3.4,3.4,22,57,1023.5,5,18,"No","Yes"
"77034",8.9,17.2,0.2,3.2,6,19,54,1005.9,7,14.4,"No","Yes"
"83978",23.1,32.5,0,10.4,13.1,13,60,1006,1,30.8,"No","No"
"61045",4.3,13.8,8.2,4.4,9.7,26,42,1018.3,7,12.6,"Yes","No"
"84280",18.7,30.9,0,8,12.7,11,46,1014,1,29.9,"No","No"
"100072",8.1,17.2,0.4,4.2,3.8,26,39,1027.3,6,16.3,"No","No"
"73541",15.2,18.1,0.4,2.4,7.2,17,74,1012,8,17.1,"No","No"
"13653",19,32.5,0,8.6,12.4,6,31,1011.7,6,30.5,"No","No"
"135009",23.5,37.9,0,12,3,13,36,1003.8,7,34.9,"No","Yes"
"35384",16.7,29.4,0,5.2,9.3,24,28,1018.7,3,27.9,"No","No"
"103781",16.3,21.5,1.6,3.6,0,30,63,1009,8,20.6,"Yes","No"
"138192",29.2,34.7,0,8,11.4,28,59,1005.4,4,34.1,"No","No"
"97867",6.5,13.4,1.2,1,6.8,28,62,1020.4,4,12.4,"Yes","No"
"64904",12.4,24.5,1.2,2.8,5.6,20,45,1010.8,7,22.1,"Yes","No"
"33385",8,13.8,0,3.4,0.1,13,89,1024.1,8,12.9,"No","Yes"
"82072",10.9,17.1,0,1.6,8.8,22,50,1011.1,1,15.9,"No","No"
"98949",8.9,17.1,0,2.4,1.8,17,92,1020.7,7,9.6,"No","Yes"
"135433",18.8,40.8,0,14.6,12.8,20,5,1006.7,0,39.7,"No","No"
"92581",23,31.8,0,12,12.6,35,52,1010.8,1,29.4,"No","No"
"101005",12.9,19.2,26,2,7.6,24,76,1011.3,7,17.4,"Yes","Yes"
"36509",11.5,18.1,0,4.6,4.7,15,53,1013.6,7,16.8,"No","No"
"83429",12.4,20.7,0.2,5,5.2,4,62,1026.4,7,19.8,"No","No"
"74572",16.7,21.2,0,3.6,1,7,88,1015.2,7,18.4,"No","No"
"63364",8.1,14.8,0.2,2.4,0,13,76,1026.7,7,13.5,"No","No"
"104545",3.7,15.5,0,2.2,9.4,19,48,1031.2,2,14.5,"No","No"
"116146",20.5,31.7,0,7.2,11.1,26,53,1013.3,2,28.9,"No","No"
"83932",16.4,27.8,0,9.6,12.9,15,48,1013.7,5,26.5,"No","No"
"76779",7.4,24.2,0,5.6,13.6,20,48,1021.9,1,23,"No","No"
"84574",13.6,25.3,0,4,10.9,11,55,1018.1,1,23.7,"No","No"
"135962",18.1,32.4,0,8,8.7,17,25,1011.9,7,30.9,"No","No"
"68115",16.5,20.9,9.4,4,0.1,17,76,1019.8,8,18.5,"Yes","Yes"
"84643",18.2,28.6,0,5.6,12.7,15,42,1019,1,27.2,"No","No"
"85769",18.2,24.1,0,4.2,1.9,22,69,1016.1,7,21.5,"No","Yes"
"36576",15.6,29.8,0,9.8,7.3,15,29,1010.2,7,28.6,"No","No"
"35407",16.8,27.1,0,5,9.3,13,42,1017.7,7,25.5,"No","No"
"91425",21.7,28.7,0,6.6,1.5,28,65,1018.8,7,24.4,"No","No"
"129167",5.4,11.3,0.2,3,7.9,22,44,1010.1,4,10.8,"No","Yes"
"9200",12.6,31.2,0,5,10.9,33,55,1011.4,0,24.5,"No","No"
"120072",14.6,31,0,4.6,11.3,7,31,1014.8,1,30.4,"No","No"
"100408",12.5,21.3,7.4,0.4,7.4,19,33,1021.8,6,20.2,"Yes","No"
"136322",17.4,32,0,5.8,10.6,22,45,1011,0,29.3,"No","No"
"133282",16.1,35,0,15.8,13.1,17,9,1008.7,0,33.8,"No","No"
"10653",19.7,24.5,0,7,2.8,26,81,1016.4,8,22.2,"No","No"
"103156",6.9,16.5,0.6,1.6,7.9,13,61,1008.6,5,16,"No","No"
"120637",9,23.2,0,3,11.7,13,51,1010,1,22.2,"No","No"
"21111",19.2,21.9,21,4.4,8.3,43,72,1003.5,4,20.8,"Yes","Yes"
"134759",16.5,22.2,0,4.2,0.8,19,64,1012.7,7,21.7,"No","No"
"36124",7.8,22.5,3.6,2.2,3.8,22,59,1001.8,7,18.9,"Yes","Yes"
"9630",19.4,23.4,4,2.6,0,11,93,1011.3,8,20,"Yes","Yes"
"86153",15.5,23.7,0,7.8,11,19,36,1016,7,23.2,"No","No"
"138833",23.5,34,7.2,7.6,9.5,26,48,1009.1,6,32.7,"Yes","Yes"
"82282",21,31.1,0,7,11.8,15,54,1011.9,2,29.7,"No","No"
"21556",15.6,19.6,0,3.4,7.7,24,70,1022.2,3,18.3,"No","No"
"65632",14.7,29.7,0,6.6,10.5,15,45,1014.4,1,28,"No","No"
"40635",16.3,33.1,0,5.4,6.5,13,45,1008.3,6,30.9,"No","Yes"
"118203",12.1,23.1,0,6,11.3,15,41,1019.2,1,21.9,"No","No"
"40674",11.3,18.5,0,6.2,5.8,30,27,1015.9,2,17.1,"No","No"
"119946",9.1,23.2,0,8.6,13.3,17,42,1022.6,1,21.2,"No","No"
"74669",9.2,14.6,0,0.8,0.4,22,79,1026.3,7,14.2,"No","No"
"45376",4.6,11.2,0,3,7.6,30,47,1016.4,5,9.6,"No","No"
"37454",5.2,20.5,0,3,9,7,46,1021,1,20,"No","No"
"31153",9.2,20.1,0,5.2,10.7,19,44,1023.5,1,19.8,"No","No"
"75851",12,26,0.2,2.6,8.7,19,32,1018.2,1,25.2,"No","No"
"134499",-1.1,19.1,0,4.8,10.6,17,27,1023.8,1,17.6,"No","No"
"133617",18.8,29.6,0,5.6,10.7,30,41,1008,7,28.1,"No","No"
"76840",15.7,34.5,0,12.8,13.3,13,26,1012.6,2,34.1,"No","No"
"36557",10.1,19.1,0.2,6.8,2.9,11,60,994.9,6,18.8,"No","Yes"
"65696",6.6,14.5,0,3,5.7,17,54,1028.9,4,13.5,"No","No"
"78541",10.2,16.9,10,1,5.2,22,82,1016.3,7,11.5,"Yes","Yes"
"85965",24.9,30.6,1.8,6.6,8.9,13,61,1006.1,6,29.3,"Yes","No"
"69486",6.5,22.8,0,4,8.2,28,18,1014.8,5,22.1,"No","No"
"103027",21.2,35.3,0,12.2,12.3,4,20,1006.9,5,32.2,"No","No"
"104535",13.9,16.5,0.6,3.4,2.5,24,94,1015.3,8,14.3,"No","Yes"
"84753",21.5,32.9,0.4,10,10.9,11,54,1008.5,1,30.6,"No","No"
"78153",7.1,27.5,0,8,12,7,28,1019.3,3,26.7,"No","No"
"133167",18.5,26.8,2.8,9.8,9.8,15,36,1012.9,1,25.6,"Yes","No"
"12271",24.1,38.2,0,12,13,11,16,1008.8,1,37.1,"No","No"
"13929",16.7,35.8,0,50.4,11.2,6,13,1005.6,7,34.5,"No","No"
"134388",19,27.1,0,8,0,13,44,1017,8,23.7,"No","No"
"101374",17.1,39.8,0,10.4,8,26,17,1006.1,7,35.4,"No","No"
"69025",4.2,13.1,0.2,1.6,4.6,20,61,1021.4,7,12.2,"No","No"
"60181",15,23.1,0,5.2,7.1,39,45,1017,5,21.5,"No","No"
"129626",8.6,16.1,0.6,4,12.1,35,28,999,2,15,"No","Yes"
"33046",8,19.9,0,3,8.5,33,37,1017.6,2,19.4,"No","No"
"35698",19.9,23.8,1.6,9.2,0,17,87,1012.7,8,21.6,"Yes","No"
"38106",3.9,17.8,0,1.4,7.7,9,56,1025.5,3,17.4,"No","No"
"32686",20.4,29.7,0,5.4,12.2,17,59,1012.2,1,28.1,"No","No"
"116818",18.2,30.3,0,10.8,12.6,24,52,1010.1,7,28.4,"No","No"
